Nombre,Precio,CantidadEnStock
Producto 96,75,57,75
Producto 97,24,32,65
Producto 98,52,42,11
Producto 99,91,55,90
Producto 100,59,06,62
Producto 101,79,98,92
Producto 102,62,6,84
Producto 103,59,57,73
Producto 104,17,18,53
Producto 105,58,57,7
Producto 106,25,98,38
Producto 107,45,61,64
Producto 108,22,13,83
Producto 109,73,16,65
Producto 110,80,55,54
Producto 111,89,05,20
Producto 112,84,35,76
Producto 113,24,01,42
Producto 114,21,79,19
Producto 115,67,63,9
Producto 116,89,53,56
Producto 117,14,84,90
Producto 118,91,26,47
Producto 119,66,3,33
Producto 120,51,7,97
Producto 121,31,11,14
Producto 122,69,78,77
Producto 123,11,43,39
Producto 124,63,95,53
Producto 125,31,09,40
Producto 126,97,96,16
Producto 127,84,23,32
Producto 128,99,14,97
Producto 129,78,1,5
Producto 130,48,43,37
Producto 131,47,24,85
Producto 132,91,7,8
Producto 133,60,96,32
Producto 134,66,71,77
Producto 135,38,36,53
Producto 136,34,3,28
Producto 137,55,8,22
Producto 138,21,57,58
Producto 139,20,39,36
Producto 140,22,29,91
Producto 141,30,5,66
Producto 142,82,01,50
Producto 143,79,06,80
Producto 144,80,02,41
Producto 145,35,83,3
Producto 146,87,67
Producto 147,47,09,91
Producto 148,51,15,25
Producto 149,65,8,41
Producto 150,31,74,75
Producto 151,20,39,31
Producto 152,62,26,7
Producto 153,38,19,99
Producto 154,16,23,28
Producto 155,65,56,35
Producto 156,18,84,59
Producto 157,41,73,13
Producto 158,27,38,78
Producto 159,12,11,24
Producto 160,12,8,14
Producto 161,75,29,16
Producto 162,14,73,53
Producto 163,90,9,27
Producto 164,78,14,76
Producto 165,77,01,9
Producto 166,27,95,96
Producto 167,29,04,78
Producto 168,60,01,68
Producto 169,94,34,91
Producto 170,45,38,35
Producto 171,25,5,52
Producto 172,92,19,55
Producto 173,63,61,29
Producto 174,72,15,70
Producto 175,82,26,2
Producto 176,11,19,5
Producto 177,52,02,27
Producto 178,94,94,57
Producto 179,86,9,4
Producto 180,29,17,9
Producto 181,14,69,30
Producto 182,18,52,85
Producto 183,94,58,34
Producto 184,88,82,12
Producto 185,41,72,59
Producto 186,99,73,100
Producto 187,30,24,42
Producto 188,48,26,17
Producto 189,26,63,15
Producto 190,70,2,83
Producto 191,11,28,76
Producto 192,44,9,49
Producto 193,53,87,33
Producto 194,49,55,26
Producto 195,54,68,87
Producto 196,72,67,57
Producto 197,98,52,81
Producto 198,33,3,48
Producto 199,92,24,63
Producto 200,88,9,92
Producto 201,86,68,31
Producto 202,47,26,46
Producto 203,33,67,99
Producto 204,19,01,19
Producto 205,17,93,18
Producto 206,29,39,9
Producto 207,69,24,69
Producto 208,75,17,76
Producto 209,12,23,89
Producto 210,95,63,34
Producto 211,14,67,23
Producto 212,68,94,87
Producto 213,20,56,93
Producto 214,29,33,66
Producto 215,89,88,34
Producto 216,19,35,58
Producto 217,35,09,68
Producto 218,51,78,42
Producto 219,16,66,16
Producto 220,11,73,93
Producto 221,96,94,71
Producto 222,23,83,41
Producto 223,50,37,80
Producto 224,19,45,46
Producto 225,14,8,67
Producto 226,64,21,81
Producto 227,65,32,88
Producto 228,61,89,89
Producto 229,79,77,36
Producto 230,20,03,38
Producto 231,50,55,3
Producto 232,94,37,26
Producto 233,48,17,87
Producto 234,99,49,24
Producto 235,73,88,90
Producto 236,75,17,72
Producto 237,80,87,62
Producto 238,41,09,21
Producto 239,22,87,34
Producto 240,72,66,42
Producto 241,56,81,58
Producto 242,97,68,99
Producto 243,93,62,87
Producto 244,53,22,90
Producto 245,52,2,69
Producto 246,36,69,95
Producto 247,26,53,27
Producto 248,51,62,82
Producto 249,81,47,100
Producto 250,83,24,54
Producto 251,85,49,88
Producto 252,44,77,43
Producto 253,63,27,10
Producto 254,63,56,53
Producto 255,19,56,83
Producto 256,88,32,92
Producto 257,12,18,90
Producto 258,68,03,39
Producto 259,18,93,90
Producto 260,96,19,38
Producto 261,48,18,66
Producto 262,91,33,33
Producto 263,55,65,34
Producto 264,34,24,20
Producto 265,18,7,25
Producto 266,73,67,2
Producto 267,31,8,76
Producto 268,19,95,36
Producto 269,19,28,5
Producto 270,81,66,88
Producto 271,97,64,53
Producto 272,92,21,17
Producto 273,92,41,37
Producto 274,89,21,9
Producto 275,55,77,75
Producto 276,78,24,92
Producto 277,36,36,47
Producto 278,80,64,38
Producto 279,45,41,95
Producto 280,68,4,47
Producto 281,59,81,47
Producto 282,36,64,81
Producto 283,77,29,31
Producto 284,54,88
Producto 285,72,67,27
Producto 286,13,94,93
Producto 287,75,61,14
Producto 288,29,9,48
Producto 289,15,54,32
Producto 290,40,08,79
Producto 291,53,88,11
Producto 292,75,6,96
Producto 293,69,31,69
Producto 294,83,65,67
Producto 295,97,45,44
Producto 296,92,89,17
Producto 297,97,3,46
Producto 298,91,58,23
Producto 299,57,2,7
Producto 300,84,43,27
Producto 301,94,42,32
Producto 302,47,68,79
Producto 303,67,42,39
Producto 304,10,68,40
Producto 305,54,86,50
Producto 306,61,29,48
Producto 307,91,62,27
Producto 308,60,87,53
Producto 309,52,43,65
Producto 310,89,94,21
Producto 311,60,27,58
Producto 312,92,58,15
Producto 313,49,2,47
Producto 314,58,21,86
Producto 315,43,08,39
Producto 316,20,26,82
Producto 317,43,41,41
Producto 318,93,29,25
Producto 319,95,79,85
Producto 320,69,35,63
Producto 321,88,88,46
Producto 322,61,87,33
Producto 323,89,86,92
Producto 324,91,54,74
Producto 325,11,71,40
Producto 326,31,19,53
Producto 327,51,71,25
Producto 328,56,58,1
Producto 329,40,88,2
Producto 330,71,14,92
Producto 331,90,25,72
Producto 332,62,7,19
Producto 333,50,3,44
Producto 334,50,96,58
Producto 335,92,31,85
Producto 336,27,5,86
Producto 337,99,05,19
Producto 338,71,36,19
Producto 339,92,22,36
Producto 340,50,63,66
Producto 341,19,43,80
Producto 342,37,75,13
Producto 343,55,65,77
Producto 344,61,17,82
Producto 345,19,85,96
Producto 346,52,81,4
Producto 347,64,41,59
Producto 348,47,5,85
Producto 349,45,78,97
Producto 350,29,61,44
Producto 351,54,58,14
Producto 352,48,76,70
Producto 353,45,8,86
Producto 354,35,07,30
Producto 355,83,08,84
Producto 356,79,14,90
Producto 357,76,97,8
Producto 358,31,18,19
Producto 359,88,96,68
Producto 360,93,96,56
Producto 361,24,44,53
Producto 362,22,52,47
Producto 363,35,17,25
Producto 364,50,15,93
Producto 365,88,61,69
Producto 366,40,79,38
Producto 367,47,41,18
Producto 368,67,79,22
Producto 369,43,61,49
Producto 370,51,11,6
Producto 371,78,90
Producto 372,34,08,36
Producto 373,44,38,83
Producto 374,13,66,67
Producto 375,41,54,14
Producto 376,95,01,37
Producto 377,60,4,84
Producto 378,10,72,72
Producto 379,57,09,27
Producto 380,43,74,4
Producto 381,47,89,64
Producto 382,16,25,38
Producto 383,90,33,65
Producto 384,90,17,73
Producto 385,53,62,79
Producto 386,90,65,50
Producto 387,39,13,44
Producto 388,45,2,84
Producto 389,85,14,99
Producto 390,53,71,60
Producto 391,25,27,39
Producto 392,35,63,29
Producto 393,35,08,18
Producto 394,70,35,51
Producto 395,77,76,43
Producto 396,61,8,83
Producto 397,15,43,14
Producto 398,82,69,57
Producto 399,99,39,58
Producto 400,99,09,38
Producto 401,55,98,51
Producto 402,96,77,81
Producto 403,95,68,62
Producto 404,18,4,59
Producto 405,52,47,61
Producto 406,11,25
Producto 407,57,8,32
Producto 408,75,3,49
Producto 409,69,85,26
Producto 410,48,21,10
Producto 411,14,67,48
Producto 412,94,79,80
Producto 413,25,61,64
Producto 414,80,52,71
Producto 415,81,42,47
Producto 416,89,95,77
Producto 417,23,35,96
Producto 418,26,51,59
Producto 419,97,61,33
Producto 420,60,59,28
Producto 421,24,02,41
Producto 422,10,39,99
Producto 423,87,61,3
Producto 424,54,41,32
Producto 425,60,79,85
Producto 426,56,28,59
Producto 427,45,75,51
Producto 428,92,46,49
Producto 429,89,72,70
Producto 430,78,27,34
Producto 431,34,02,13
Producto 432,43,69,84
Producto 433,40,64,76
Producto 434,49,15,37
Producto 435,89,86,68
Producto 436,64,15,52
Producto 437,96,8,99
Producto 438,16,64,45
Producto 439,74,99,50
Producto 440,50,41,29
Producto 441,69,56,94
Producto 442,66,75,7
Producto 443,84,77,78
Producto 444,29,66,34
Producto 445,19,55,65
Producto 446,24,39,90
Producto 447,76,78,35
Producto 448,63,85,26
Producto 449,26,4,20
Producto 450,79,43,56
Producto 451,85,24,24
Producto 452,86,66,6
Producto 453,20,22,56
Producto 454,97,73,14
Producto 455,80,85,92
Producto 456,63,16,99
Producto 457,45,67,35
Producto 458,39,41,23
Producto 459,97,76,21
Producto 460,44,32,32
Producto 461,68,76,24
Producto 462,13,37,51
Producto 463,81,21,76
Producto 464,48,16,93
Producto 465,60,92,19
Producto 466,69,82,30
Producto 467,92,33,93
Producto 468,99,91,36
Producto 469,51,75,58
Producto 470,61,35,61
Producto 471,47,24,68
Producto 472,66,13,92
Producto 473,80,25,25
Producto 474,79,82,27
Producto 475,32,24,51
Producto 476,26,46,17
Producto 477,90,64,56
Producto 478,42,34,59
Producto 479,78,14,100
Producto 480,32,17,84
Producto 481,88,98,10
Producto 482,63,24,40
Producto 483,64,14,58
Producto 484,54,3,67
Producto 485,84,86,68
Producto 486,44,68,54
Producto 487,82,93,83
Producto 488,63,1,45
Producto 489,18,43,39
Producto 490,68,04,11
Producto 491,16,36,57
Producto 492,51,75,28
Producto 493,34,35,69
Producto 494,16,11,64
Producto 495,70,82,85
Producto 496,73,26,93
Producto 497,45,88,68
Producto 498,36,5,14
Producto 499,71,32,3
Producto 500,95,41,27
